track_name,album_name,popularity,track_duration_ms,explicit,artist_id,release_year,artist_name,genres,charted_year,years_since_release
KLOuFRENS,DeBÍ TiRAR MáS FOToS,90,199114,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,6
LA CANCIÓN,OASIS,90,242573,FALSE,4q3ewBCX7sLwd24euuV69X,2019,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,0
WELTiTA,DeBÍ TiRAR MáS FOToS,89,187507,FALSE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,6
DtMF,DeBÍ TiRAR MáS FOToS,97,237117,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,5
BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,96,367725,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,5
EoO,DeBÍ TiRAR MáS FOToS,94,204768,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,5
NUEVAYoL,DeBÍ TiRAR MáS FOToS,94,183685,FALSE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,5
VOY A LLeVARTE PA PR,DeBÍ TiRAR MáS FOToS,93,156364,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,5
VeLDÁ,DeBÍ TiRAR MáS FOToS,93,235336,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,5
Qué Pasaría...,Cosa Nuestra,91,191018,TRUE,4q3ewBCX7sLwd24euuV69X,2024,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,4
KLOuFRENS,DeBÍ TiRAR MáS FOToS,90,199114,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,5
LA CANCIÓN,OASIS,90,242573,FALSE,4q3ewBCX7sLwd24euuV69X,2019,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,1
WELTiTA,DeBÍ TiRAR MáS FOToS,89,187507,FALSE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2020,5
NOKIA,$ome $exy $ongs 4 U,94,241023,TRUE,3TVXtAsR1Inumwj472S9r4,2025,Drake,rap,2020,5
One Dance,Views,89,173986,FALSE,3TVXtAsR1Inumwj472S9r4,2016,Drake,rap,2020,4
Passionfruit,More Life,87,298940,TRUE,3TVXtAsR1Inumwj472S9r4,2017,Drake,rap,2020,3
DIE TRYING,$ome $exy $ongs 4 U,87,195431,TRUE,3TVXtAsR1Inumwj472S9r4,2025,Drake,rap,2020,5
She Will,Tha Carter IV (Complete Edition),81,305840,TRUE,3TVXtAsR1Inumwj472S9r4,2011,Drake,rap,2020,9
God's Plan,Scorpion,86,198973,TRUE,3TVXtAsR1Inumwj472S9r4,2018,Drake,rap,2020,2
WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,85,189893,TRUE,3TVXtAsR1Inumwj472S9r4,2022,Drake,rap,2020,2
Headlines,Take Care (Deluxe),85,235986,TRUE,3TVXtAsR1Inumwj472S9r4,2011,Drake,rap,2020,9
9,Views,84,255786,TRUE,3TVXtAsR1Inumwj472S9r4,2016,Drake,rap,2020,4
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",83,218364,TRUE,3TVXtAsR1Inumwj472S9r4,2022,Drake,rap,2020,2
LA CANCIÓN,OASIS,90,242573,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2019,J Balvin,"reggaeton, latin",2020,1
Azul,Colores,86,205933,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2020,J Balvin,"reggaeton, latin",2020,0
X (feat. Maluma & Ozuna) - Remix,X (feat. Maluma & Ozuna) [Remix],86,235746,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2018,J Balvin,"reggaeton, latin",2020,2
+57,+57,85,298130,TRUE,1vyhD5VmyZ7KMfW5gqLgo5,2024,J Balvin,"reggaeton, latin",2020,4
No Me Conoce - Remix,Famouz,85,309120,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2019,J Balvin,"reggaeton, latin",2020,1
Mi Gente,Vibras,79,185040,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2018,J Balvin,"reggaeton, latin",2020,2
QUE PRETENDES,OASIS,83,222346,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2019,J Balvin,"reggaeton, latin",2020,1
UN PESO,OASIS,82,277106,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2019,J Balvin,"reggaeton, latin",2020,1
Downtown,Downtown,80,193456,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,2017,J Balvin,"reggaeton, latin",2020,3
I Like It,Invasion of Privacy,80,253390,TRUE,1vyhD5VmyZ7KMfW5gqLgo5,2018,J Balvin,"reggaeton, latin",2020,2
Lucid Dreams,Goodbye & Good Riddance,86,239835,TRUE,4MCBfE4596Uoi2O4DtmEMz,2018,Juice WRLD,"melodic rap, emo rap",2020,2
All Girls Are The Same,Goodbye & Good Riddance,85,165819,TRUE,4MCBfE4596Uoi2O4DtmEMz,2018,Juice WRLD,"melodic rap, emo rap",2020,2
Robbery,Death Race For Love (Bonus Track Version),81,240050,TRUE,4MCBfE4596Uoi2O4DtmEMz,2019,Juice WRLD,"melodic rap, emo rap",2020,1
Empty Out Your Pockets,The Party Never Ends 2.0,80,135653,TRUE,4MCBfE4596Uoi2O4DtmEMz,2024,Juice WRLD,"melodic rap, emo rap",2020,4
Let Me Know (I Wonder Why Freestyle),Let Me Know (I Wonder Why Freestyle),81,215380,TRUE,4MCBfE4596Uoi2O4DtmEMz,2019,Juice WRLD,"melodic rap, emo rap",2020,1
Wishing Well,Legends Never Die,80,194621,TRUE,4MCBfE4596Uoi2O4DtmEMz,2020,Juice WRLD,"melodic rap, emo rap",2020,0
Hate Me,Brightest Blue,78,188066,FALSE,4MCBfE4596Uoi2O4DtmEMz,2020,Juice WRLD,"melodic rap, emo rap",2020,0
Lean Wit Me,Goodbye & Good Riddance,80,175755,TRUE,4MCBfE4596Uoi2O4DtmEMz,2018,Juice WRLD,"melodic rap, emo rap",2020,2
Ransom (with Juice WRLD) - Remix,We Love You Tecca,79,171253,TRUE,4MCBfE4596Uoi2O4DtmEMz,2019,Juice WRLD,"melodic rap, emo rap",2020,1
Armed And Dangerous,Goodbye & Good Riddance,79,169999,TRUE,4MCBfE4596Uoi2O4DtmEMz,2018,Juice WRLD,"melodic rap, emo rap",2020,2
Timeless (feat Playboi Carti),Hurry Up Tomorrow,95,256000,TRUE,1Xyo4u8uXC1ZmMpatF05PJ,2025,The Weeknd,,2020,5
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),94,244684,FALSE,1Xyo4u8uXC1ZmMpatF05PJ,2023,The Weeknd,,2020,3
Starboy,Starboy,91,230453,TRUE,1Xyo4u8uXC1ZmMpatF05PJ,2016,The Weeknd,,2020,4
Blinding Lights,After Hours,91,200040,FALSE,1Xyo4u8uXC1ZmMpatF05PJ,2020,The Weeknd,,2020,0
Die For You,Starboy,88,260253,FALSE,1Xyo4u8uXC1ZmMpatF05PJ,2016,The Weeknd,,2020,4
São Paulo (feat. Anitta),Hurry Up Tomorrow,88,301623,TRUE,1Xyo4u8uXC1ZmMpatF05PJ,2025,The Weeknd,,2020,5
RATHER LIE (with The Weeknd),MUSIC,88,209680,TRUE,1Xyo4u8uXC1ZmMpatF05PJ,2025,The Weeknd,,2020,5
The Hills,Beauty Behind The Madness,88,242253,TRUE,1Xyo4u8uXC1ZmMpatF05PJ,2015,The Weeknd,,2020,5
Save Your Tears,After Hours,88,215626,TRUE,1Xyo4u8uXC1ZmMpatF05PJ,2020,The Weeknd,,2020,0
Cry For Me,Hurry Up Tomorrow,87,224136,TRUE,1Xyo4u8uXC1ZmMpatF05PJ,2025,The Weeknd,,2020,5
DtMF,DeBÍ TiRAR MáS FOToS,97,237117,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2021,4
BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,96,367725,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2021,4
