album_id,album_name,release_date,total_tracks,popularity,album_type,track_id,track_name,track_number,track_artists,track_duration_ms,track_explicit,charted_year,track_popularity,features
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,5,Billie Eilish,168839,FALSE,2019,77,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,6,Billie Eilish,221543,FALSE,2019,77,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,43zdsphuZLzwA9k4DJhU0I,when the party's over,7,Billie Eilish,196077,FALSE,2019,88,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,6X29iaaazwho3ab7GNue5r,8,8,Billie Eilish,173201,FALSE,2019,70,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,3Tc57t9l2O8FwQZtQOvPXK,my strange addiction,9,Billie Eilish,179889,FALSE,2019,78,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,4SSnFejRGlZikf02HLewEF,bury a friend,10,Billie Eilish,193143,FALSE,2019,78,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,7qEKqBCD2vE5vIBsrUitpD,ilomilo,11,Billie Eilish,156370,FALSE,2019,78,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,0tMSssfxAL2oV8Vri0mFHE,listen before i go,12,Billie Eilish,242652,FALSE,2019,79,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,6CcJMwBtXByIz4zQLzFkKc,i love you,13,Billie Eilish,291796,FALSE,2019,86,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,3LgWsmilsrWXiPYQFRD0T7,goodbye,14,Billie Eilish,119409,FALSE,2019,71,0
4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,17,85,album,7sWRlDoTDX8geTR8zzr2vt,Hollywood's Bleeding,1,Post Malone,156266,FALSE,2019,75,0
4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,17,85,album,05mDaV9Vb3wrzjF6OPZnhq,Saint-Tropez,2,Post Malone,150866,TRUE,2019,69,0
