track_name,artist_name,word
God's Plan,Drake,nessed
God's Plan,Drake,god
God's Plan,Drake,yeah
God's Plan,Drake,wait
God's Plan,Drake,hard
God's Plan,Drake,southside
God's Plan,Drake,yeah
God's Plan,Drake,wait
God's Plan,Drake,northside
God's Plan,Drake,eat
God's Plan,Drake,bad
God's Plan,Drake,lot
God's Plan,Drake,bad
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,bad
God's Plan,Drake,lot
God's Plan,Drake,bad
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,yeah
God's Plan,Drake,ayy
God's Plan,Drake,ayy
God's Plan,Drake,love
God's Plan,Drake,partly
God's Plan,Drake,love
God's Plan,Drake,bed
God's Plan,Drake,mama
God's Plan,Drake,im
God's Plan,Drake,fifty
God's Plan,Drake,dub
God's Plan,Drake,tatted
God's Plan,Drake,eightyone
God's Plan,Drake,theyll
God's Plan,Drake,bring
God's Plan,Drake,crashers
God's Plan,Drake,party
God's Plan,Drake,o2
God's Plan,Drake,o3
God's Plan,Drake,dog
God's Plan,Drake,40
God's Plan,Drake,oli
God's Plan,Drake,thered
God's Plan,Drake,magine
God's Plan,Drake,met
God's Plan,Drake,broskies
God's Plan,Drake,gods
God's Plan,Drake,plan
God's Plan,Drake,gods
God's Plan,Drake,plan
God's Plan,Drake,ayy
God's Plan,Drake,ayy
God's Plan,Drake,watchin
God's Plan,Drake,shit
God's Plan,Drake,close
God's Plan,Drake,yep
God's Plan,Drake,close
God's Plan,Drake,ive
God's Plan,Drake,scarlett
God's Plan,Drake,road
God's Plan,Drake,ayy
God's Plan,Drake,road
God's Plan,Drake,ayy
God's Plan,Drake,god
God's Plan,Drake,yeah
God's Plan,Drake,wait
God's Plan,Drake,yeah
God's Plan,Drake,hard
God's Plan,Drake,southside
God's Plan,Drake,ayy
God's Plan,Drake,wait
God's Plan,Drake,ayy
God's Plan,Drake,northside
God's Plan,Drake,eat
God's Plan,Drake,yeah
God's Plan,Drake,bad
God's Plan,Drake,lot
God's Plan,Drake,bad
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,yeah
God's Plan,Drake,yeah
God's Plan,Drake,bad
God's Plan,Drake,lot
God's Plan,Drake,bad
